label,review
n,آخر هفته چهارتایی موتور رفتیم نظرم بهترین شکل استفاده هست بچه محلات بروی صد موتورخ همبرگر مغز بندری نظرمان قبول بودن بندری قارچ پنیرش بود
p,آخر هفته رفتیم ساندویچ رست بیف سفارش دادیم خوشمزه بود سس خوشمزه‌ای کنارش سرو شد
m,آبگوشت‌‌های خوشمزه تری خوردم قیمت تومان دیزی زیاد هست آبگوشت چیز‌های خاصی نذاشته بودن کاسه سالاد سبزی دو مدل ترشی پارچ دوغ محیط جالبی دارد شلوغ هست رفتار پرسنل خوب هست چای بامیه بعدش عالی هست
m,آخرین امین نمایشگاه کتاب بود پسرعمه‌هام ناهار رفتیم سالسا پیشنهاد بود حسم بود برخورد پرسنل سرویس‌دهی خوب معمولی بود سرعت آماده شدن غذا خوب کیفیت غذا معمولی بود طوری نسبت رستوران‌‌های سطح خاصی گفتن ندارد قبول بود بجز نان استفاده نان سیر ساندویچ‌‌ها تازه نبود محیطش نسبتا ابتدای حضور خلوت بود ادامه حین غذا خوردن کمی مشتری شد مقایسه جمعه تعطیل بود خلوت بنظر میرسید موزیک ملایمی پخش می‌شد فضای خوبی ایجاد کرده بود آرامش داشت نکته خوبش بود حواسش غذا خوردن نبود معذب شیم منوی غذاییش محدود اندازه کافی متنوع بود سفارش برگر رست بیف سیب‌زمینی نان سیر نوشابه قوطی بود جمع فاکتور شد فیدیلیو نوشته حق سرویس ندارد داشت بعلاوه مالیات برارزش افزوده نداشت فاکتور می‌شد موقعیت مکانیش دقیقا پل سیدخندان عالی هست مجموع نسبت هزینه‌اش حتما ارزش رفتن دارد گذرم بیفته حتما سر می‌زنم بگویم قیمت‌های گرچه مال بهمن هست کلا درصد اضافه نشده
m,آخر هفته‌‌ها می‌خواهید رستوران غذا بخورید زود‌تر اقدام کنید صف طولانی هست نوبت بمانید تماس بگیرند رستوران منطقه قبلا امتحان کرده بودیم پسند جمع نبود صف داشتند صورت نوشتیم دقیقه تماس گرفتند رستوران رفتیم فضای دلباز منظره خوبی داشت کباب سفارش دادیم شیشلیک لقمه فیل هست زیادی طول کشید غذا آوردند کباب‌‌ها دیس خالی گذاشته بودند دارچین‌‌ها حد دواند هرچیزی بود فکر می‌کنم گارنیش دارچین‌‌های غذا مهم‌ترین بخش‌‌های سرو غذا رستوران‌‌های حرفه‌ای هست رعایت بشود کیفیت غذا خوب بود کباب‌‌ها مغز پخت بودند حجم برنج کم بود زیتون پرورده برخلاف اکثر رستوران‌‌ها تازه خوب بود سرویس‌دهی دیر دیر می‌شد تعداد نفرات نسبت شلوغی رستوران کم بود مودب بودند سرویس بهداشتی دواند بود نسبت جمعیتی وعده رستوران مراجعه می‌کنند کم بود دلیل صف طولانی جلوی سرویس تشکیل شده بود
m,آبگوشتش عالی هست شیشلیکش معمولی کباب کوبیده زیاد جالب نبود بوی چربی میداد محیط خوب رفتار خوب کارکن‌ها هستند
m,آخ عاشق آش شله قلم کار آش دوغ اینجام کافی هست سمت توحید یاستارخان رد بشوم می‌روم ظرف میخرم می‌آیم خانه می‌خورم عالی هست خانواده‌ی هرجایی حلیم نمی‌خورند حلیم دوست دارند
m,آخرین بار تقریبا هفته رفتیم شش لیک استیک خوردیم سوپ مخصوص سوپ قارچ غذا سرد بود استیک شور بود سوپ قارچ مزه گذشترو نمیداد نخودفرنگی درونش بود سال هاست مشتری‌ام بد بود برخورد پرسنل عالی گرم
p,آخر هفته خوب همسرم رفتیم موزه نیاوران گردش رستوران گردش نیست شیشه ماشینم پیتزا آرد بود گفتم بریم ببینیم چطور هست گشتن آدرس پیدایش کردیم زیاد نبود شلوغ نبود پیتزا پپرونی ساسج سفارش دادیم سالاد سیب‌زمینی سس‌‌هایشان خوشم آمد پیتزایشان کم مواد بود خوشمزه بود
m,آخر شب گشایتان بود طرفهای اندرزگو بودین حتما سر بزنید سفارش سریع آماده می‌کنند قیمتش مناسب هست جگر میداد سیخی تومان پشت پارک کوچیک هست می‌توانید برید غذا میل کنید مغازه اندازه دارد سه چهار میزم مغازه گذاشتن دیوار مغازه پر عکس بازیگر‌ها ورزشکارهایی هست قبلا رفتن برید ضرر نمکنید
m,آخرین بار حدود ده رفتم کیفیت غذا‌ها دفعات خوب بود پیتزای هالوپینو استیک سیر استیک بهترین انتخاب‌‌ها هستند سالاد سزار خوب بود اب پرتقال ماهیت خوب بود دکوراسیون حد فست فواد خوب هست سرویس‌دهی خوب هست تعداد پرسنل زیاد هستند رسیدگی‌‌ها خوب می‌شود گزینه‌ی پیتزای انتخابی دارد می‌شود مواد پیتزا دلخواه انتخاب کرد قیمتش توافقیه بار مراجعه کوچونی راضی آمدم
p,آخر هفته رستوان رفتیم شلوغ بود تصمیم گرفتیم برش امتحان کنیم شمارمان گرفتن گفتن اسرع وقت زنگ می‌زنیم همینطور شد برخورد پرسنل خوب بود پیزایش عالی سالاد سیب‌زمینی خوب بود ممنون کادر فعال مودبتان غذای خوبتان ضمنا روبروی خیابون دست خیابون اصلی پارک کردیم پارک مناسب نصیبمان شد
p,آخرین بار سال بار رفتارم نظرم جذاب آمد دوباره می‌روم زادی برخورد کارکن‌ها هستند عالی بود مقدار گران هست طعم غذا‌‌ها تزیین غذا خوب بود
m,آخر گناه داریم هروقت رفتیم کباب مانده باشد سلمان اینقدر زیاد خوب هست محیط غذا‌ها کرم کارامل نفیسشان
n,آخرین بار غذا سفارش دادیم بد بود جوجه کباب استخوان سفارش دادیم جاش جوجه کباب استخوان سوخته اکبر جوجه‌ی ته گرفته دادن خوردن نبود ناریجه بعید بود اوایل غذا سفارش می‌دادیم کیفیت غذایش خوب بود حجم زیاد طعم خوبش علاوه بسته‌بندی شیک درست حسابی داشت بار حضوری رفتم رستورانش کیفیتش خوب بود برخورد پرسنل آخرین بار گل کاشتن باعث شد نظرم تغییر کند
n,آخرین بار شیلا پالیزی سفارش دادیم حدودا پارسال بود نظرم نسبت حجم غذا قیمتش بالا بود مالیات ارزش افزوده دارد محیطش کوچیک هست
n,آخرین باری رفتیم کیفیت پایین آمده نظر مواد تازه نبود مزه سوشی نمی‌داد مزه جلبک سوشی‌ها مشخص نبود راضی کننده نبود
p,آخر هفته گردش رفتیم پیتزا آرد اقدسیه منوی ساده‌ای دارد پیتزا ساندویچ کیفیت خوبی دارد ساندویچ استیک پیتزای پپرونی سفارش دادم سیب‌زمینی مخصوص بوی پیاز می‌دهد دوست نداشتم همسرم تنهایی خورد منم سالاد چیکن تنهایی خوردم ندادم خوشمزه بود سس خردل استیک طعم جالبی داشت پیتزایش ساده بود اونی نظر بیاید خوشمزه بود
n,آخرین باری بود اینجارو انتخاب کردم کیفیت استیک پایین بود حجم کمی داشت دارچین کوچکی کنارش بود فیل هست مرغ پارمژان سفت بود طعم خوبی نداشت قیمت‌‌ها بالا بود نسبت مدت‌زمانی منتظر غذا بودیم طولانی بود سرویس‌دهی فضا دکوراسیون نکته مثبت مون لانژ بود
p,آخر هفته شب رفتیم شلوغ بود تایم کوتاهی منتظر شدیم میز خالی بشود پرسنل رفتار خوبی داشتن همبرگر مینی دارچین کاهو بابر دارچین سیب‌زمینی چدار ساندویچ کراکف آوردند بود طعم برگر‌ها واقعن عالی بود دفعه می‌روم کراکف خوب بود راضی بودیم
n,آخر هفته‌‌ها شدت شلوغ فضای جالبی دارد کیفیت غذا‌ها پایین هست قیمت‌ها بالا است
p,آدرس رستوران می‌داند بوبرنگ آدرس جمع‌شده درحال حاضر رستوران دیگه‌ای مکان بازشده
n,آخرین باری رفتیم اواسط شهریور بود کیفیت گوشت برگر‌‌ها شدت افت کرده آبدار خوشمزه نیست خشک بیمزه است کیفیت مرغ سوخاری سیب‌زمینی شوند نصف شده تردی تازگی ندارد دستگاه بستنی سافت شوند جمع کرده بودند نقطه قوتشان بود قیمت‌‌هایشان حدود درصد افزایش دادن کیفیت گران هست
n,آخر هفته شلوغ بود طوریکه شماره تماس می‌نوشتند میز خالی نداشتن دقیقه‌ای طول می‌کشید تماس بگیرند دعوتت کنند داخل پرسنل خوش برخوردی داشت فضا علی رغم شلوغی نزدیکی میز‌ها بهم خوب بود سیب‌زمینی آل هستید سس مخصوصش عالی بود پیتزا سوپر هستیم طعم معمولی نون خشکی داشت
m,آخرین تابستان رستوران رفتم دکور خوبی دارد پرسنل خوشرو بودند سالاد مرغ سیب‌زمینی تنوری ساندویچ مرغ سس پستو سوپ پاستا سفارش دادیم حجم غذا‌‌ها یاد بود ساندویچ پاستا دو نفره بود کیفیت خوبی داشت سوپ قیافه مزه خوبی داشت نظرم قیمت حجم سوپ زیاد بود سالاد مرغ خوب نبود سس مزه‌ای نمی‌داد سر میز روغن زیتون نبود مرغش خشک بود پنیر پارمژان سالاد بود جالب نبود انگار خاک اره می‌خوردی کاهو‌‌ها تازه بودند سیب‌زمینی تنوری کاسه مسی کوچولو سیب زمینی‌های سوخاری شده مکعبی ارزش تومان نداشت سیب زمینی‌ها خوب پخته نشده بودند جایی نیست دوباره بروم بروم قطعا سیب‌زمینی سالاد سفارش نخواهم داد نظرم رستوران‌ها بهتر هست غذا‌ها دو پورش هستند آرایه بدهند اینطوری برود غذا بگیرد قطعا بایدظرف باقی غذایش بگیرد خوب کاری هست
p,آدمی کافه زیاد می‌روم کافه‌‌ها دلم نمی‌نشیند کافه دوست دارم فضای تراس باری لبه تراس دارند خوردن قهوه سیگار کشیدن عالی هست لحاظ کیفیت غذا نوشیدنی‌ها بخواهم بگویم خوب هست ایتم‌هایی تست کردم دوست داشتم ضعفی داشتن نبود قهوه دمی بود برخورد پرسنل گرم صمیمی بود
m,آخر هفته شلوغ بود کیفیت غذا بد نبود قیمت‌ها گران هست
m,آخرین ماه رمضان لانجین بودم فضای شلوغی دارد جایی گفتگو می‌خواهید نرید بوی دستشویی منم حس کردم فکری بشود پنینی بوقلمون معمولی خاطر ادویه ایی فکر می‌کنم آویشن بود تلخی می‌زد دوست نداشتم پیتزا استیک خوشمزه خوب بود خلاف بعضی جاها کم گوشت می‌بینید خوب قبول بود ماهیت اسانس بد بود
p,آخر کار مجموع هزینه‌‌ها سوربرایز می‌شوی
p,آخرین مشتری بودیم ساعت شب رفتار پرسنل فوق‌العاده بود کاپوره رست بیف بورک مکزیکی سیراستیکش عالی بود
m,آذر رفتیم کیفیت غذا‌هایش بی‌نظیر بود گران فیل هست مرغ سوخاری سه تیکه چیکسو گرفتیم تومان ترد عالی بود چرب روغنی نبود عدس پلو ماهیچه گرفتیم بی‌نظیر بود قیمت بود نیم لحاظ حجمی مناسب بود پیتزای سیسیلی قیمتش بود خوشمزه بود ظاهرا بود نازک بود دو گرسنه نباشند مناسب بود شخصا ترجیح می‌دهم تعداد رستوران رفتن‌هام کم کنم حتما رویال برنامه‌ام بگذارم
m,آخر هفته شلوغه‌ها مرغ سوخاری هست خوب همینجا می‌شود
m,آذر صرف قهوه رفتم زیباییه دکوراسیون قشنگ هست بعضی میز‌های بالکن علیرغم سرپوش دلیل بارش باران خیس شده بود سرویس‌دهی برخورد پرسنل خوب بود قهوه فراموش کرده بودند شکر بیاورند خوب بود بوی سیگار مشتری‌ها هستند نفس کشیدن سخت می‌کرد
n,آخر کجا‌‌هات داگ کوکتل نصف شده می‌گذارند ساندویچ یاد دبیرستان افتادم قیمت بالا نسبت کیفیت
m,آذر نهار رفتم گیلانه طعم کباب ترشش خوب هست کته‌‌هایش خوشمزه است محیط رستوران بوی تند ماهی خواهم میومد مقدار زیادی آزاردهنده بود قیمت‌هایش زیادی تند هست خوشمزه است
p,آخر وقت رسیدیم غذا‌ها شده بود خورشت خلال لقمه جوجه مدیترانه جوجه مازندرانی گرفتیم خوب بودن
m,آذر ظهر رفتم زیگزاگ برخورد پرسنلش خوب بود پیتزا میت لاورز دارچین‌‌هات داگ پنیر کیفیت متوسط پایین نسبت قیمتش مناسب نیست سیب‌زمینی کاراملی بد نبود قیمتش بالا بود
n,آخرین بار رفتیم سفارش پیتزا دادیم کلا معمولی توجه کاشانی فردوس برندهای بهتری نسبت دارند حرفی گفتن ندارد غذای خاصی آرایه نمی‌دهد بار کافی بود
p,آذر ماه قلیان رفتیم مدیریت عوض شده بود پرسنل خوش برخوردی داشت سرویس قلیانش تکمیل بود نسبت قیمتش عالی بود
p,آذری مرگ تجربه کنید شک نکنید پشیمان نمی‌شوید
m,آرام قشنگی است پرسنل خوبی دارد سینایمان لات هست خوردم طعم دارچین آخرین جرعه حس شد خاصی نبود
p,آخرین بار کباب ترش خوردیم کیوسکی جالب بود غذای سنتی کیفیت خوبی دارد غذا‌های فرنگی محیط جالبی دارد بتوانید پنجره بگیرید فضای خوبی دارد موسیقی زنده دارد
p,آخرین بار ژیلمو رفته بودم تدارک انتقال محل بودن بهتر هست خیابون هست فضای بزرگی دو طبقه دارد سر رستوران نوشتن رستوران مکزیکی ایتالیایی ژیلمو منوی قبلیه قیمت‌‌های توضیح سفارش‌‌ها ماچ ناچو سفارش خوب غذا‌ها خوبی ژیلمو هست چیپس‌‌های ذرت نون‌‌های ترتیا خودشان درست می کنند خبری چیپس‌‌های آماده نیست حجم غذا زیاد هست تند نیست مزه‌اش خوب هست خامه ترش مکزیکی ماست استفاده می کنند ظرف ترشی همراه‌اش هست تقریبا سفارش‌‌ها سرو می‌شود دیپ لوبیا سفارش درستی نبود پوره لوبیا غذا‌هایشان می‌گذارند حجمش زیاد بود چیپس‌‌های تردی کنارش داشت فلفل خار نیستا زیادی تند هست نوشیدنی مخصوص ژیلمو مشابه موهیتوی ژوانی جاهای زیاد خوشمزه حواستان باشد سه نوشیدنی‌ای نام ماهیت دارند سفارش ندید سه اب‌‌های رنگین هستند پر نعناع طعم ناخوشایند فاهیتای مخصوص ژیلمو فیل هست استیک دارد فیل هست مرغ میگو اخری نمی‌گذارند خاطر دواند میگو پنج تومان فاهیتاهای گران تره طعم گوشت‌‌ها خوب بود سیب‌زمینی خوب پخته بود مشکل فاهیتا هست سبزیجاتش محدوده کدو فلفل دلمه فلفل تند نصف فضای بشقاب پر کردن عملا دست نخورده باقی می‌مانند قارچ گل کلم کلم بروکلی سبزیجات درونش خالی هست فاهیتا بشقاب دارچین سرو می‌شود درونش برنج تند پوره لوبیا سالاد نون ترتیا دارد بشقاب‌‌های شماره سه انتخاب‌‌های خوب هستید مدل غذا هستند بشقاب شماره تیکه فیل هست گوساله نرم خوشمزه دارد تاک بوریتو قیمتش می‌ارزد هزینه پنج کم غذا درصد حق سرویس مالیات شد تومان کارت کلاب درصد کم شد شد تومان عالی هست حجم غذا‌ها زیاد هست غذا‌ها می توانند تا‌حدودی نفرو سیر کنند شکل شمایل غذا‌ها اشتها برانگیزد ژیلمو رستوران‌‌های محبوب منه بار رفتم کیفیت قیمت راضی کننده بوده توصیه می‌کنم نرفتید حتما بار امتحانش کنید
p,آخرین روزهای سال همکار‌ها هستند رفتم رستوران علت تنوع انتخاب افراد زیاد بود درگیر تعارفات معمول شدیم کس متوسط دو غذا انتخاب ویکی انتخاب همکار امتحان کرد خوب رضایت بود ته چین داشتم خاص بود کمی شیشلیک همکارم سرو کردم عالی بود
m,آدرس نقشه اشتباه مشخص کردید محل اصلی خیابان شریعتی است جدیدا شکل پیتزا‌هایش عوض کرده کیفتشون خوب شده قیمتش هستم خوب هست مرغ سوخاریش معمولی هست
m,آرام دنج هوا‌های گیلکی غذای خوب پرسنل گرم خوب حجم غذا‌‌ها زیاد حتما توصیه می‌کنم چای اتیشی استفاده کنید خوبی هست لذت بردیم
m,آذر آمدیم کافه پاستا مرغ پستو کمی چرب خوشمزه تکه‌‌های زیاد مرغ بشقاب مرغ گریل سفارش دادیم بشقاب گریل تکه مرغ مقدار زیادی پوره سیب‌زمینی داشت تکه کوچک بلال آب‌پز دوغذا خوب بود محیط زیبا صدای موزیک کمی زیاد هست
p,آرامش دارد غذا‌هایش سالادش عالی هست قیمتش هستم خوب هست
p,آذر دوست‌هایمان رفتیم مایا تعدادمان زیاد بود حدود بودیم اولین نکته مثبت بود غذا‌ها آورد هستند کیفیت غذاهاا عالی بود حجمش خوب بود پرس به‌راحتی دو سیر می‌کرد گردن ماهیچه فوق‌العاده خوشمزه بود نکته منفی رستوران بود برخورد پرسنل قسمت داخلی صندوق خوب نبود
m,آذر شعبه قدیم جنب گیلانه شام خوردیم شیشلیک کیفیت ثابت نسبت عالی بود جوجه بار اول می‌خوردم لذیذ آبدار عین حالت پخت حرفه‌ای حجم زیاد بود برگ اشتباه کردم دیر تست کردم برگ کلا بماند سفت می‌شود خوب بود توجه قیمت یکسان شیشلیک برتری خاصی ندارد نقاط ضعف برنج معمولی وحتی نظر گرم شده میرسید رومیزی‌ها لک نظر قدیمی کثیف بود گلهای پژمرده میز زیتون پرورده معمولی غذای دارچین نظر میرسید مدیریت رستوران خسته آس
p,آذر ماه ناهار رفتیم لیون برخورد عالی پرسنل کیفیت بالای خدمات سفارشات اینجارو بهترین کافه‌‌های مجموعه تبدیل می کند پاستا آلفرد سیب‌زمینی پنیر سالاد سزار گرفتیم همگی خوب بودن قیمت‌‌ها نسبت پرستیژ کافه معقول خوب بود
m,آذر ماه کافه رفتیم کافه کوچیک منطقه گیشا دکوری خوب نور کم محیط نقلی حدود دو سه‌متری کنارش هست افراد سیگاری می‌توانند داخل بنشینند رفتار پرسنل خوب بود قهوه معمولی خوشمزه قیمت متوسطی داشت کلا کافه محلی هست ساکن گیشا باشید می‌تواند انتخاب‌‌های باشد گاهی
m,آذرماه رستوران مراجعه کردم کیفیت کماکان خوب است قیمت تغییر معنی‌داری کرده چندان ارزنده نیست سیخ چلوکباب کوبیده بناب قیمت تومان ممتاز‌‌ترین رستوران‌های تهران البرز نوید نایب حد اکثر تومان می‌توانید تهیه کنید
p,آرامش داشت سرویس‌دهی خوبی داشتند لباس فرم کارکن‌ها هستند شکیل زیبا بود
p,آرامش رستوران بی‌نظیره مهم‌ترین موضوعاتی می تواند فضای رستوران دلچسب‌تر کند هست مشتری‌ها هستند حاضر رستوران رستوران هم‌خوانی داشته باشند دارچین ویژگی دارد بار رستوران رفتم کیفیت غذایش دیزاین غذا برخورد پرسنل دکوراسیون عالی بوده مهمانانی داشتم همگی راضی بودند دیدن نحوه‌ی سرو سوپ شگفت زده شدند شاه میگو استیک مرغ بادمجان اسفناج استیک گوشت امتحان کردم عالی بودند محل رستوران دلیل پروژه‌‌های عمرانی اطراف کمی پرت دور دسترس عموم است موضوع باعث می‌شود مشتری‌ها هستند قدیمی رستوران باز‌‌های حرفه‌ای رفت آمد کنند نکات بامزه شب‌‌ها بود آق‌های رضا کیانی‌ها هستند اتفاق خانواده تشریف داشتند مشتری‌ها هستند دارچین هستند
m,آرد جاهایی وقت بگویی جواب می‌دهد پاستای آلفرد سفارش دادیم مرغ میگو داخل نون سرو می‌شود سس پاستا جذب نون می‌شود مزه خوبی می‌کند بویژه نان سیر دلچسب‌تر می‌شود
p,آخرین بار سه رفتم کباب لقمه خوردم خوب بود شلوغ بود سرویس‌دهی اکی بود قیمت‌ها بالا است می‌ارزد
m,آرزو جایی هست می‌توانید ساندویچتان خلوت کنید حسابی عشق کنید مزه خوب سوسیس عالی ترکیب سس‌‌های خوشمزه هست بشود عادت هفتگی ساندویچ هاشونو امتحان نکنم دست بردار نیستم سس‌‌ها بردارید تست کنید یکمی خردل تند سس گوجه سس خردل غلیظ اصلش هست مراقب باشید پیشنهاد می‌کنم قطره کوچیک بزنید سس گوجه روش بزنید زبونتان نسوزد حالا سوسیس فرانکفورتر شکاری مراکشی امتحان کردم عالی بودن برگر هدف بعدیمه شنیدم خفن هست وقت فرصت کنم هوس ساندویچ آرزو گزینه‌ای هست اکثرا انتخاب می‌کنم مواقع آرزو خلوت هست پیشنهاد می‌کنم نفری بودین برید ساندویچ‌‌های خوشمزه بخوردید کافی باشد راحت باشید موقع سفارش تحویل گرفتن غذا چندتا عکس محیطش ساندویچ مراکشی گرفتم کیفتان کوک
m,آریانا یزدی شیرینی فروشی‌های قدیمی هست قدمت ساله شعبه ستارخان دارد محصولات کیفیت خوبی دارد کروسان پنیری حرف ندارد تارت توت‌فرنگی دارد ناپلیونی قرار دارد طعم خوبی دارد
p,آریش سفارش دادیم مناسب ذایقه است جوجه کباب مخصوصش بامرینت خوشمزه‌اش خوشمزه ومتفاوت بود پا هست آلفرد حرف نداشت پیشنهاد می‌کنم زیتون پرورده‌‌های خوش طعمش امتحان کنید
p,آرایه دهنده بهترین کباب‌‌های تهران کباب‌‌های فوق العاده‌ای دارد خوشبختانه تمیز هست کارکنانش تمیز هستند مودب نور کافی دارد خوشبختانه فضایش دلبازه نکته عجیب ظرف بار مصرف تومان فیش اضافه کرده بودن همچین جایی بعید هست
m,آس پی جاییه رستوران منطقه خوش اب هوا قهوه خانه خط قرمز پر رنگی می‌کشد تصور عمومی رستوران‌های می‌شکند اولین نکته مثبتش هست غلیون نمی‌دهد نکته مثبت بعدیش فضای فوق‌العاده زیبا بزرگش هست نکته مثبت سوم تخت میز کوچیک میز فضای سرپوشیده آس حق انتخاب می‌دهد نکته خوب کیفیت بالای غذایش هست از‌طرفی گلی بی‌عیب نیست لذا نکته منفی دارد رزرو چندان معنی نمی‌کند مگر مراسم تعداد بالا داشته باشید نکته منفی بعدی نبود پارک درست حسابی منطقه آس
n,آخرین باری پیتزا گرفتم خوب نبود ساندویج‌هاش خوب هست
p,آس پی عالی هست دو سالی بود نرفته بودم تازگی رفتم کیفیت تغییری نکرده فوق‌العاده است ‌ کادر پرسنل خوب طعم لذیذ غذا‌ها زیبابی تمیزی محیط خوبی‌‌های رستوران هست
m,آش حلیمش حرف ندارد ماه رمضان‌ها ببینید صف طولانی تشکیل می‌شود دم مغازه فروشنده مشتی بامرامه
m,آش رشته آش شله‌قلمکارش عالی هست
n,آش رشته حلیم امتحان کردیم آش رشته خوب بود فوق‌العاده نبود حلیم متوسط بود کمی طعم تلخی داشت زیاد غلیظ کشدار نبود واقع حلیم معنوی خورده باشد حلیم حساب نمی‌آید فضای صندلی گذاشتن شلوغ پر سروصدا است بهتر هست بگیرید ببرید خانه بخورید موضوع جالب نمی‌خواهند همانجا غذا میل کنند اجازه ندارند همراه‌‌هایش حلیم نون بردارند حلیمشان شکر نمی‌ریزند
n,آش رشته شو دوست دارم آش شله قلمکارشم عالی هست مشتری هست همیشگیشم شلوغ هست گاهی نشستن ندارد
m,آشپزخانه برادر‌ها هستند فرسنگ‌‌ها فاصله قطب دانشجوی تهران محبوب‌‌ترین مکان‌‌های دانشجویی تبدیل شده است کافه است فضای کافه‌ای دارد دلیل نزدیکی دانشگاه الزهرا منوی خوشمزه تکمیل صبحانه نهار عصرانه چای قهوه خوب ارزان هزار‌ها هستند دلیل بهشت دانشجویی خوردن املت مشتی نان بربری تازه چای عسل تازه دم تبدیل شده است ای کاش دوران دانشجویی وقت پایانی نداشت می‌شد جمع دوستان نعمات الهی استفاده کرد زندگی لذت برد
m,آشپزخانه‌‌های خوب منطقه غذا دارچین مقدار بادمجان سرخ کرده‌ی ترد می‌گذارند دل دین می‌برد کلیه‌ی کباب‌‌های تکه‌‌هایش راضی بودم گوشت قرمز مرغ جوجه
m,آشپزش استانبول آوردند کیفیت مزه‌ی گوشت بی‌نظیر بود نمی‌شد دونرهای معمولی مقایسه‌‌هایش کرد قیمت قیاس حجم بالا است دونر گوشت معمولی اندازه‌ی نصف نون لواش بود تومان حداقل دو تاش بخوری سیر بشوی
p,آفرین کارتون خوب بود ممنون ازتان
p,آق‌های علیرضا رنجبر سر آشپز بینلل ملل اداره می‌کردند می‌رفتم آخرین بارم دوز رفتم جرات می‌توانم بگویم جیز عالی بود غذاهایی سفارش بودیم غذاهایی بودن همرو آق‌های علیرضا رنجبر آشپز‌هایش آموزش بود هست کم کاسی حس نکردم محیط زیبا موسیقی ملایم دلچسب غذا لذیذ اب دار رفتار کازکنان عالی ادب مهمان‌نوازی حد عالی سرو غذا غذا خوب بود ایراداتشونم قشنگ پذیرا بودن سریع غذایی نصفه میل کرده بودم عوض کردن جوری دوست داشتم هزینه اضافه بگیرند دوباره سرو کردن آق‌های رنجبر تیم هست خوبی پرورش دادی افرین‌بر مرد
p,آرد رستوران‌‌های علاقه مه کیفیت غذاهایی حالا امتحان کردم خوب بوده سرویس‌دهی عالی بوده محیط بشوم کوچک بودن دوست‌داشتنی
p,آق‌های نظر انصاف رعایت نکردند خودم بار رفتم غداهای مختلفی جمله استیکش خوردم برخوردشان خوب بود گارسن‌هاش گدایی انعام نمی‌کنند جاها نظر مهم بود فضای داخلیش محیط متریال میز لوازمش عالی هست ضمن پارکینگ اختصاصی آسانسور اختصاصی پارکینگ دارد اهمیت دارد
